"xloc","yloc","snagspp","snagdbh","snaglen","snagfdir","snagstat","snagyear","snagwt0","snagwt1","snagwt2","snagwt3"
51.45,18.21,"PSME",0.4551,3.213,168,3,2019,0,0,0,0
49.81,14.11,"PSME",7.765,63.71,195,3,2049,0,0,0,0
35.47,32.08,"PSME",0.06518,0.4675,286,3,2019,0,0,0,0
30.89,24.46,"PSME",4.611,29.94,166,3,2039,0,0,0,0
16.67,9.215,"PSME",4.879,36.79,27,3,2039,0,0,0,0
51.79,52.75,"PSME",8.174,48.61,-1,3,2049,0,0,0,0
36.49,39.69,"PSME",10.3,72.02,-1,2,2059,0,0,0,4.846
20.84,14.36,"PSME",2.496,16.7,196,3,2029,0,0,0,0
44.34,10.42,"PSME",2.063,12.19,341,3,2029,0,0,0,0
21.08,35.45,"PSME",4.711,36.35,110,3,2039,0,0,0,0
19.84,23.35,"PSME",0.7252,3.992,33,3,2019,0,0,0,0
41.26,3.383,"PSME",12.79,70.22,-1,2,2059,0,0,0,11.36
8.361,55.14,"PSME",6.179,44.69,168,3,2049,0,0,0,0
0.5153,10.25,"PSME",3.445,19.17,138,3,2029,0,0,0,0
34.38,65,"PIPO",0.9953,6.015,82,3,2029,0,0,0,0
36.87,30.81,"PIPO",0.9953,6.015,288,3,2029,0,0,0,0
22.75,0.6319,"PIPO",0.6853,4.142,129,4,2029,0,0,0,0
37.57,58.35,"PIPO",2.604,19.23,114,3,2039,0,0,0,0
2.932,58.52,"PIPO",2.604,19.23,254,3,2039,0,0,0,0
39.09,11.74,"PIPO",2.604,19.23,174,3,2039,0,0,0,0
2.22,43.28,"PIPO",5.695,55.99,-1,2,2059,0,0,0,0
4.588,47.69,"PIPO",6.679,71.67,-1,1,2069,7.309,3.029,17.25,13.42
39.46,68.11,"PIPO",1.089,7.541,305,3,2029,0,0,0,0
56.72,40.01,"PIPO",4.98,42.59,124,3,2049,0,0,0,0
22.25,52.31,"PIPO",8.029,98.6,-1,1,2069,34.46,4.236,37.74,20.84
35.43,59.07,"PIPO",4.138,31.12,353,3,2039,0,0,0,0
26.1,39.67,"PIPO",5.762,47.26,167,3,2049,0,0,0,0
52.7,20.55,"PIPO",0.3406,2.16,20,3,2029,0,0,0,0
4.571,51.26,"PIPO",4.417,32.45,-1,3,2049,0,0,0,0
53.36,5.77,"PIPO",0.77,6.76,144,3,2029,0,0,0,0
47.93,66.77,"PIPO",3.946,41.99,182,3,2049,0,0,0,0
26.82,52.83,"PIPO",0.8572,8.742,43,3,2029,0,0,0,0
30.76,30.79,"PIPO",0.4436,2.422,25,3,2029,0,0,0,0
16.85,30.34,"PIPO",5.554,58.72,-1,2,2059,0,0,0,0
7.854,9.595,"PIPO",1.925,13.46,331,3,2039,0,0,0,0
2.855,0.5286,"PIPO",8.5,63.7,-1,2,2059,0,0,0,0
32.15,5.868,"ABGR",2.528,12.09,92,3,2009,0,0,0,0
48.85,26.52,"ABGR",1.544,7.787,135,3,2009,0,0,0,0
73.58,150.4,"PSME",15.2,49.19,-1,3,2029,0,0,0,0
64.83,144.4,"PSME",3.29,21.38,274,4,1999,0,0,0,0
67.55,127.7,"PSME",16.62,91.42,116,3,2039,0,0,0,0
97.7,123.9,"PSME",15.1,63.92,-1,3,2039,0,0,0,0
113.6,123.9,"ABGR",6.074,36.23,44,3,2019,0,0,0,0
130,152.5,"ABGR",8.964,43.67,34,3,2019,0,0,0,0
58.71,109.2,"PSME",16.76,39.13,-1,4,2019,0,0,0,0
201.7,11.14,"PICO",3.5,21.88,118,3,1999,0,0,0,0
194.9,6.4,"PICO",13.65,68.18,-1,3,2049,0,0,0,0
200.3,10.89,"PICO",5.88,36.3,45,3,2009,0,0,0,0
177.6,16.88,"PICO",5.031,32.58,199,3,2009,0,0,0,0
152.8,36.01,"PSME",4.3,22.74,259,3,1999,0,0,0,0
163,11.77,"PICO",4.299,30.3,238,3,2009,0,0,0,0
165.6,10.44,"PICO",9.662,69.64,87,3,2039,0,0,0,0
197.9,2.788,"PICO",6.46,43.15,198,3,2019,0,0,0,0
133.2,15.58,"PICO",11.35,82.09,63,3,2049,0,0,0,0
172,35.96,"PICO",2.4,16.76,308,3,1999,0,0,0,0
133.4,79.17,"ABGR",16.8,59.7,282,3,2029,0,0,0,0
200,54.34,"PSME",3.3,21.06,62,3,1999,0,0,0,0
182.9,64.78,"PSME",19.23,108.9,-1,2,2059,0,0,0,41.78
194.8,92.55,"PSME",7.217,43.1,254,3,2009,0,0,0,0
143,153.6,"PIPO",1.364,12.63,55,3,2019,0,0,0,0
189.9,105.4,"PIPO",1.364,12.63,286,3,2019,0,0,0,0
136.6,129,"PIPO",7.705,50.8,-1,3,2039,0,0,0,0
183.2,140,"PIPO",9.937,108.1,-1,2,2059,0,0,0,0
140.5,108.3,"PIPO",5.133,47.59,204,3,2039,0,0,0,0
191.2,145.8,"PIPO",6.495,60.61,282,3,2039,0,0,0,0
172.2,130.1,"PIPO",9.82,82.71,79,3,2049,0,0,0,0
195,111.2,"PIPO",7.378,34.42,-1,4,2029,0,0,0,0
188.8,134.2,"PIPO",1.445,11.2,328,3,2019,0,0,0,0
189.4,129.3,"PIPO",6.098,27.85,-1,4,2029,0,0,0,0
144.4,122.9,"PIEN",6.083,36.54,-1,2,2059,0,0,0,0
202.1,124.7,"PIEN",4.169,13.23,-1,4,2039,0,0,0,0
144,121.7,"PIEN",3.037,10.15,-1,4,2039,0,0,0,0
135.4,153.6,"PIEN",4.059,22.64,247,3,2019,0,0,0,0
177.4,116.2,"PIEN",3.276,15.36,310,3,2009,0,0,0,0
205.3,151.8,"PIEN",9.841,44.66,135,3,2029,0,0,0,0
140.4,152.8,"PIEN",11.42,38.39,-1,3,2039,0,0,0,0
198,112.3,"PIEN",0.9123,5.431,162,3,2009,0,0,0,0
152.9,123.4,"PIEN",6.824,14.48,-1,4,2019,0,0,0,0
176.7,111.8,"PIEN",4.261,28.62,272,3,2029,0,0,0,0
166.4,148.1,"PIEN",6.203,43.98,354,3,2039,0,0,0,0
175.4,115.5,"PIEN",12.03,82.18,-1,1,2069,77.19,46.59,55.46,29.72
201.8,139.3,"PIEN",11.56,74.31,-1,2,2059,0,0,0,0
169,107.7,"PIEN",0.9123,5.431,92,3,2009,0,0,0,0
147.7,154.4,"PIEN",5.06,32.55,207,3,2029,0,0,0,0
148.7,156.4,"PIEN",8.488,56.87,336,3,2049,0,0,0,0
200.7,120.3,"PIEN",10.68,79.41,-1,1,2069,65.82,38.68,43.7,20.68
189.3,162,"ABGR",4.18,18.88,206,3,2009,0,0,0,0
158.8,173.7,"ABGR",19.88,67.81,-1,3,2049,0,0,0,0
141,180.1,"ABGR",11.32,54.3,111,3,2039,0,0,0,0
170.5,158.2,"ABGR",5.505,21.97,306,3,2009,0,0,0,0
7.419,175.7,"LAOC",34.6,27.43,-1,4,1983,0,0,0,0
29.58,93.51,"PSME",3.603,21.81,-1,3,2049,0,0,0,0
