"xloc","yloc","snagspp","snagdbh","snaglen","snagfdir","snagstat","snagyear","snagwt0","snagwt1","snagwt2","snagwt3"
8.859,131.9,"PSME",0.2449,2.259,60,3,2039,0,0,0,0
44.51,80.35,"PSME",4.61,37.37,-1,2,2059,0,0,0,0.259
28.73,132.1,"PSME",5.736,47.03,-1,1,2069,12.9,9.47,14.86,1.704
49.79,94.67,"PSME",1.942,14.46,215,3,2039,0,0,0,0
39.91,107.9,"PICO",5.4,34.28,1,3,1999,0,0,0,0
21.06,125,"PICO",9.871,61.28,132,3,2019,0,0,0,0
20.63,148.4,"TSHE",21.79,84.03,-1,2,2059,0,0,0,60.88
25,153.5,"TSHE",7.576,30.67,329,3,2019,0,0,0,0
11.39,191.3,"LAOC",1.19,11.3,332,4,1999,0,0,0,0
21.56,152.5,"LAOC",3.759,35.99,63,3,2009,0,0,0,0
52.69,173.8,"LAOC",5.509,53.32,251,3,2019,0,0,0,0
47.46,161.5,"LAOC",7.9,21.07,-1,4,1999,0,0,0,0
43.76,193.3,"LAOC",12.09,91.42,-1,3,2049,0,0,0,0
20.93,176.1,"LAOC",3.87,34.99,78,4,2009,0,0,0,0
26.86,150.2,"LAOC",3.32,33.14,192,3,2009,0,0,0,0
84.65,4.777,"LAOC",1.9,14.96,286,3,1999,0,0,0,0
57.72,51.98,"LAOC",7.276,62.98,268,3,2029,0,0,0,0
123.7,36.06,"LAOC",8.777,78.16,122,3,2039,0,0,0,0
124.7,38.13,"LAOC",8.157,66.98,282,3,2029,0,0,0,0
103.4,39.74,"LAOC",9.528,80.47,113,3,2039,0,0,0,0
129.6,30.81,"LAOC",4.507,34.91,117,3,2009,0,0,0,0
64.95,37.09,"LAOC",1.29,10.16,137,4,1999,0,0,0,0
86.6,16.56,"LAOC",6.661,61.13,84,3,2029,0,0,0,0
82.51,9.863,"PIPO",2.613,17.43,195,3,2009,0,0,0,0
132.8,10.42,"PIPO",2.613,17.43,32,3,2009,0,0,0,0
117.5,48.09,"PIPO",16.14,123.2,-1,1,2069,58.25,6.17,103.1,92.25
115.2,7.76,"PIPO",10.9,94.12,72,3,2049,0,0,0,0
100.9,2.571,"PIPO",0.1,0.6129,152,3,1999,0,0,0,0
110.3,14.69,"PIPO",7.669,56.91,337,3,2029,0,0,0,0
72.81,25.38,"PIPO",6.776,44.3,24,3,2019,0,0,0,0
121.2,40.24,"PIPO",1.996,14.78,261,3,2009,0,0,0,0
64.82,1.668,"PIPO",3.978,33.46,99,3,2019,0,0,0,0
65.39,5.988,"LAOC",2.3,1.369,95,3,1999,0,0,0,0
90.51,15.76,"LAOC",14.61,58.99,-1,1,2069,15.41,21.37,27.96,16.69
62.96,6.959,"LAOC",5.099,6.751,285,3,2009,0,0,0,0
105.5,39.62,"PICO",3.4,21.47,218,3,1999,0,0,0,0
100.2,19.07,"PICO",7.035,42.72,55,3,2019,0,0,0,0
60.97,0.2265,"PICO",10.4,18.7,-1,4,2009,0,0,0,0
92.8,38.21,"PICO",14.2,69.24,-1,3,2049,0,0,0,0
80.57,53.67,"PSME",0.1634,0.9781,44,3,2009,0,0,0,0
82.93,91.17,"PSME",2.126,13.66,343,3,2019,0,0,0,0
124.2,69.77,"PSME",7.162,23.29,-1,4,2029,0,0,0,0
70.88,68.45,"PSME",7.162,23.29,-1,4,2029,0,0,0,0
104.8,63.07,"PSME",8.399,38.4,-1,3,2039,0,0,0,0
119.8,53.5,"PSME",11,87.47,-1,1,2069,38.83,27.54,56.73,19.02
90.24,56.2,"PSME",2.792,17.28,211,3,2019,0,0,0,0
120.2,56.79,"PSME",8.681,64.23,283,3,2049,0,0,0,0
75.69,59.81,"PSME",0.9288,4.471,37,3,2009,0,0,0,0
89.46,91.12,"PSME",7.005,57.48,303,3,2039,0,0,0,0
115.5,81.44,"PSME",2.149,15.61,262,3,2019,0,0,0,0
70.09,94.79,"PIPO",2.1,16.65,106,3,1999,0,0,0,0
111.9,65.44,"PIPO",22.6,146.7,-1,1,2069,95.67,6.354,194.1,264.8
96.78,68.36,"PIPO",20.25,134.2,-1,2,2059,0,0,0,0
108.3,60.59,"PIPO",8.803,80.41,251,3,2029,0,0,0,0
8.498,14.34,"PSME",0.3429,2.338,16,3,2019,0,0,0,0
7.454,66.4,"PSME",3.106,21.7,187,3,2029,0,0,0,0
32.35,27.72,"PSME",10.43,77.11,-1,2,2059,0,0,0,5.112
20.86,66.92,"PSME",16.87,81.14,-1,2,2059,0,0,0,26.5
